,DeID,Transfer Status,HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,HW9,Primary Instructor (3rd Week),Enrollment Flag (3rd Week),Enrollment Flag (End of Term),Grade (End of Term)
44,6UUUQJRQ,False,100.0,76.66666670000001,92.6333333,41.25,49.613333299999994,89.22,93.984,95.4066667,94.16499999999999,"Gillespie, Gary N                  ",Y,Y,A- 
46,6YDBYADV,False,92.0,72.16666670000001,67.5333333,100.0,68.5333333,94.3,94.512,97.21333329999999,95.32000000000001,"Gillespie, Gary N                  ",Y,Y,A  
47,6ZA206YY,False,100.0,82.5333333,72.4666667,27.500000000000004,11.666666699999999,48.89,32.64,68.5,12.75,"Gillespie, Gary N                  ",Y,Y,D  
48,75QMB4RJ,False,100.0,74.3,80.5333333,80.0,80.22666670000001,85.44,98.4,85.33333329999999,95.675,"Gillespie, Gary N                  ",Y,Y,B  
49,7CLVI3K6,False,100.0,90.4,85.9666667,100.0,80.05333329999999,98.7,90.624,75.38,95.71499999999999,"Gillespie, Gary N                  ",Y,Y,A  
50,7HGBZ6A3,False,100.0,79.4,95.1,87.5,94.0,100.0,97.184,100.0,100.0,"Gillespie, Gary N                  ",Y,Y,A+ 
51,7PQZN82D,False,100.0,90.2,91.4,85.0,25.7733333,70.56,98.11999999999999,76.38000000000001,94.71000000000001,"Gillespie, Gary N                  ",Y,Y,C+ 
53,7YDCD5T3,False,100.0,93.33333329999999,87.2,80.0,27.279999999999998,91.86,62.50399999999999,89.5933333,43.53,"Gillespie, Gary N                  ",Y,Y,C  
54,85AS1XMS,False,100.0,67.6333333,90.8666667,92.5,95.05333329999999,83.67999999999999,97.6,88.5733333,99.245,"Gillespie, Gary N                  ",Y,Y,A  
55,88VVF2K1,False,100.0,45.3,89.63333329999999,98.75,39.6133333,45.01,83.976,89.33333329999999,59.845000000000006,"Gillespie, Gary N                  ",Y,Y,C  
57,8UY4HT9Q,False,0.0,63.6333333,67.2,92.5,69.4133333,82.28999999999999,51.559999999999995,81.2133333,82.795,"Gillespie, Gary N                  ",Y,Y,D  
58,8WP8W3M8,False,100.0,90.2,20.0,0.0,25.6666667,36.15,61.24000000000001,73.7866667,71.08,"Gillespie, Gary N                  ",Y,Y,D  
59,8YKAGVE1,False,100.0,84.3,43.3333333,65.0,66.7466667,82.96,97.6,84.19333329999999,95.87,"Gillespie, Gary N                  ",Y,Y,A- 
60,9GTWOHV1,False,100.0,89.8,95.1,85.0,84.0533333,96.67,99.064,100.0,96.975,"Gillespie, Gary N                  ",Y,Y,C+ 
62,9N44GGPT,False,100.0,82.16666670000001,86.83333329999999,62.5,92.0,95.4,100.0,96.86,99.245,"Gillespie, Gary N                  ",Y,Y,B+ 
63,9PQ94E1Q,False,80.0,69.8,28.7666667,86.25,29.9466667,65.5,80.36,37.24,39.04,"Gillespie, Gary N                  ",Y,Y,D  
65,9R3C8UZW,False,100.0,76.86666670000001,87.5333333,83.75,97.3333333,83.11,99.2,90.57333329999999,95.675,"Gillespie, Gary N                  ",Y,Y,B+ 
66,9UB9QO39,False,100.0,98.0333333,85.6,97.5,90.6666667,95.13000000000001,97.6,94.66666670000001,99.62,"Gillespie, Gary N                  ",Y,Y,A+ 
67,9XNX51V2,False,100.0,83.1333333,92.6333333,86.25,82.05333329999999,97.05,84.23200000000001,91.33333329999999,94.62,"Gillespie, Gary N                  ",Y,Y,A  
68,A0G846WL,False,100.0,91.3666667,88.06666670000001,98.75,78.1066667,92.28,92.52,79.86,94.365,"Gillespie, Gary N                  ",Y,Y,A- 
69,A3B7VRPZ,False,100.0,99.0333333,90.1666667,80.0,90.6666667,97.44,98.11999999999999,100.0,100.0,"Gillespie, Gary N                  ",Y,Y,A+ 
70,AH0YE617,False,48.0,59.20000000000001,81.7666667,68.75,0.0,76.94,94.368,56.7866667,0.0,"Gillespie, Gary N                  ",Y,Y,F  
71,AHSCAH9Y,False,84.0,63.533333299999995,69.3,77.5,84.0533333,72.35000000000001,87.44,85.2866667,87.36,"Gillespie, Gary N                  ",Y,Y,A  
72,AIZF8GN3,False,100.0,89.8,91.4,95.0,78.72,87.1,100.0,90.57333329999999,93.2,"Gillespie, Gary N                  ",Y,Y,A  
73,AR5Q9FN4,False,100.0,86.2666667,82.8,96.25,52.6133333,98.72,99.064,95.2866667,100.0,"Gillespie, Gary N                  ",Y,Y,A  
74,AWQP8HB0,False,84.0,53.933333299999994,14.899999999999999,0.0,16.0,25.0,8.416,14.000000000000002,0.0,"Gillespie, Gary N                  ",Y,Y,F  
76,B2SIV2AB,False,100.0,71.2666667,62.1,85.0,98.66666670000001,63.690000000000005,97.464,100.0,95.675,"Gillespie, Gary N                  ",Y,Y,A  
77,B43PYI7H,False,100.0,75.1,85.1,100.0,100.0,98.08,100.0,100.0,83.165,"Gillespie, Gary N                  ",Y,Y,A+ 
78,B68BX3NZ,False,100.0,88.83333329999999,81.7666667,87.5,79.08,82.74000000000001,81.272,85.86,93.62,"Gillespie, Gary N                  ",Y,Y,B  
79,BZNBCIF4,False,100.0,62.3666667,80.1666667,80.0,14.333333300000001,73.57000000000001,87.544,90.12,81.205,"Gillespie, Gary N                  ",Y,Y,P  
81,CIOQ52M4,False,100.0,35.8666667,74.7333333,17.5,47.28,55.510000000000005,87.69600000000001,21.740000000000002,62.050000000000004,"Gillespie, Gary N                  ",Y,Y,C+ 
83,CLHYZQXI,False,100.0,93.33333329999999,96.3,100.0,86.72,98.72,99.2,100.0,97.735,"Gillespie, Gary N                  ",Y,Y,A+ 
84,CO68WRAY,False,96.0,78.83333329999999,90.5333333,100.0,92.0,89.22,100.0,83.19333329999999,91.365,"Gillespie, Gary N                  ",Y,Y,B+ 
85,CULH828F,False,100.0,78.4333333,79.7333333,92.5,34.3333333,76.0,81.168,93.76,66.77,"Gillespie, Gary N                  ",Y,Y,C  
86,CWU0VP20,False,100.0,64.7,74.4,22.5,35.9466667,83.6,56.848,51.5266667,48.94,"Gillespie, Gary N                  ",Y,Y,C  
88,D4XCU3KB,False,100.0,78.2333333,80.1666667,100.0,77.44,98.33,83.12799999999999,93.9533333,90.435,"Gillespie, Gary N                  ",Y,Y,A  
89,D9BLPTY4,False,100.0,96.0666667,100.0,97.5,88.08,98.33,92.488,95.2866667,96.43,"Gillespie, Gary N                  ",Y,Y,A+ 
90,DAXF6MPS,False,0.0,39.033333299999995,57.2,20.0,10.666666699999999,38.07,76.312,77.9533333,45.184999999999995,"Gillespie, Gary N                  ",Y,Y,D  
